N,DH39,DH68,DH95,DH99,RH95,RH99,DZ68,DZ95,DZ99,RZ95,RZ99,AREA,A_N_DH39,A_N_DH68,E39,E90,E95,
92,0.0195949597155776,0.0310222441121329,0.0718829276052878,0.100692997559371,2.31714144681023,3.24583215822189,0.233204868951116,0.979306471295831,1.53123300488621,4.19933972948529,6.56604217473345,26.974997329494,14.9633628733004,9.45149202140463,0.35,0.85,0.94,
93,0.013458615066156,0.0259215204499454,0.0499267724585317,0.0727354389107038,1.92607422681631,2.80598659523682,0.392818785588535,0.987410769998996,1.48912262738952,2.51365465762953,3.79086408802589,27.5244591609635,21.9905187128964,11.4176144502587,0.45,0.91,0.98,
94,0.0150394043065173,0.0271776158118693,0.0475044363646308,0.0646942556143826,1.74792508266616,2.38042424553403,0.305756777476232,1.0045477052336,1.61172194345954,3.28544705868928,5.27125500459211,28.0090866711184,19.8125538130811,10.9637655194693,0.46,0.87,0.95,
95,0.011001815537279,0.0253392416397167,0.0447091929315508,0.0527649077988754,1.76442505925172,2.08233965913848,0.423566927240676,1.00208808371699,1.24561744266082,2.3658317476416,2.94078069497869,27.3765678511161,26.1933494027726,11.3726528413983,0.49,0.94,0.97,
96,0.0164893404521867,0.0308816362063633,0.0600521247030947,0.0694166435729369,1.94459012151437,2.24782919885033,0.332533003917993,0.928850609342939,1.41851453301716,2.79325840863605,4.26578570037812,27.4694379406947,17.35302751366,9.26570006319622,0.45,0.85,0.94,
97,0.0152444200312809,0.0281954088695435,0.0522374906672593,0.0637239470636106,1.85269491600407,2.26008238995409,0.306923509922103,0.864791899127249,1.14665583564296,2.81761374143914,3.73596612372242,27.0861283655989,18.3174195007594,9.90368460520476,0.43,0.92,0.95,
98,0.0156762588031968,0.0302158351030247,0.063878655363534,0.0895948293247235,2.11407876518162,2.96516144661363,0.203671961113883,0.837159363537164,1.38356343600958,4.11033192275822,6.79309723558838,27.7462871914351,18.0607747715101,9.37009943756604,0.4,0.89,0.92,
99,0.0142060255562195,0.0258114077158108,0.0610311201861551,0.0793269616561314,2.36450180703513,3.07332953434925,0.328562992124652,1.003534067442,1.42127463868873,3.05431254126537,4.32572953362174,26.965155625448,19.173223944308,10.5525166370959,0.46,0.89,0.94,
100,0.0162740666798086,0.0298755820686694,0.0802818436989494,0.0972604071663536,2.68720601039406,3.25551505382554,0.347462839748549,1.06316808783327,1.58819531811952,3.05980371484519,4.57083502589474,27.2861939616538,16.7666720915603,9.13327609783003,0.36,0.79,0.91,
105,0.0127554069389866,0.0256319874005699,0.0558283963119636,0.0666264482778502,2.17807520889786,2.59934773049899,0.368657596161447,0.833861280452826,1.15215523245936,2.26188552503785,3.12527191750795,27.2432450614806,20.3411367443695,10.1224876838944,0.41,0.88,0.96,
110,0.0101473887953263,0.0237859991444399,0.0480044582884161,0.0902573849430707,2.01818128374218,3.79455932857749,0.348360530115792,0.872242559350462,1.17997910712153,2.50385013210462,3.38723536426274,27.1789088618781,24.3492187632781,10.387664951682,0.46,0.92,0.96,
115,0.0110399646480156,0.0185196766495957,0.0436553331362855,0.0693504608880236,2.35724056970717,3.74469069844897,0.293460761697877,0.873967718042606,1.33601474763362,2.97814165337161,4.55261800556857,27.0310643942834,21.2910766798138,12.6920538792704,0.47,0.96,0.98,
120,0.00898792709214574,0.0190484472557779,0.0420205785552768,0.0718862992714112,2.20598445589999,3.773866620525,0.369679851949667,0.988305626853828,1.35371209482393,2.67340949646449,3.66184980783925,27.4340343295695,25.43600436481,12.001868166817,0.48,0.92,0.98,
125,0.00962720868783726,0.0189844183994665,0.0492641546545693,0.0621147692270944,2.59497834581826,3.27188159890323,0.210749354857445,0.93095136772313,1.16146877125346,4.41733911049381,5.51113796784386,27.5902265208363,22.9268752058469,11.6264721690338,0.49,0.91,0.96,
130,0.0131414485722098,0.0219560787053039,0.0476380323121804,0.0703156855799941,2.16969673645197,3.20256119153955,0.262348920647068,0.751601444069055,1.13490006275738,2.86489245778208,4.32591855136366,27.4708693570938,16.0799913730073,9.62441347137753,0.41,0.92,0.94,
135,0.00953495824599415,0.0226325148900435,0.0524303104376056,0.0689795728290696,2.31659233153408,3.04780856940538,0.282152525870506,0.799542461721037,0.900152661846835,2.83372427467825,3.19030516941025,27.3332792133923,21.2343598881599,8.94592297399028,0.42,0.84,0.9,
